1,1
3,1
5,1
7,1
9,1
11,1
13,1
15,1
17,1
19,1
21,2
23,2
25,2
27,2
29,2
31,2
33,2
35,2
37,2
39,2
41,1
43,1
45,1
47,1
49,1
51,1
53,1
55,1
57,1
59,1
61,2
63,2
65,2
67,2
69,2
71,2
73,2
75,2
77,2
79,2
81,2
83,2
85,2
87,2
89,2
91,2
93,2
95,2
97,2
99,2
101,1
103,1
105,1
107,1
109,1
111,1
113,1
115,1
117,1
119,1
121,2
123,2
125,2
127,2
129,2
131,2
133,2
135,2
137,2
139,2
141,1
143,1
145,1
147,1
149,1
151,1
153,1
155,1
157,1
159,1
161,4
163,4
165,4
167,4
169,4
171,4
173,4
175,4
177,4
179,4
181,5
183,5
185,5
187,5
189,5
191,5
193,5
195,5
197,5
199,5
201,3
203,3
205,3
207,3
209,3
211,3
213,3
215,3
217,3
219,3
221,0
223,0
225,0
227,0
229,0
231,0
233,0
235,0
237,0
239,0
